data;

param m := 2;
param n := 6;
param hl := 143;
param o:= 3;
param ini_hp := 108;
param fim_hp := 125;
param tarifa_hp:= 0.47753;
param tarifa_fp := 0.32282;
param custo_max := 700;

param v :=
1 1.2
2 1
3 0.8
;

param lamb :=
1 1.5
2 1
3 0.6
;

param pi :=
1 118
2 179
;

param p :=
1 1 4
1 2 87
1 3 28
1 4 32
1 5 38
1 6 9
2 1 4
2 2 21
2 3 68
2 4 17
2 5 43
2 6 48
;

param s :=
1 0 1 0
1 1 2 1
1 1 3 8
1 1 4 1
1 1 5 3
1 1 6 9
1 2 1 4
1 0 2 0
1 2 3 7
1 2 4 3
1 2 5 7
1 2 6 8
1 3 1 7
1 3 2 3
1 0 3 0
1 3 4 2
1 3 5 3
1 3 6 5
1 4 1 3
1 4 2 8
1 4 3 3
1 0 4 0
1 4 5 5
1 4 6 2
1 5 1 8
1 5 2 3
1 5 3 7
1 5 4 9
1 0 5 0
1 5 6 5
1 6 1 8
1 6 2 8
1 6 3 1
1 6 4 2
1 6 5 2
1 0 6 0
2 0 1 0
2 1 2 5
2 1 3 1
2 1 4 6
2 1 5 1
2 1 6 7
2 2 1 6
2 0 2 0
2 2 3 7
2 2 4 7
2 2 5 6
2 2 6 2
2 3 1 7
2 3 2 6
2 0 3 0
2 3 4 9
2 3 5 6
2 3 6 9
2 4 1 3
2 4 2 7
2 4 3 3
2 0 4 0
2 4 5 1
2 4 6 7
2 5 1 5
2 5 2 8
2 5 3 5
2 5 4 6
2 0 5 0
2 5 6 9
2 6 1 7
2 6 2 4
2 6 3 1
2 6 4 7
2 6 5 9
2 0 6 0
;

end;
