n 250
m 30
hl 143
o 5
peak_start 108
peak_end 125
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 47179

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
40
167
159
93
160
114
120
51
53
188
176
118
159
66
62
81
151
104
120
175
162
91
62
72
53
95
84
89
196
199

processing
38	87	55	91	57	53	63	75	93	73	43	59	67	63	65	66	58	64	98	25	80	4	96	20	70	9	5	35	3	36	
24	94	78	34	87	36	43	7	13	37	35	11	51	58	29	17	25	87	36	24	67	71	81	64	47	9	28	51	97	30	
86	76	26	66	11	68	3	53	30	69	45	65	36	95	24	64	67	4	8	5	81	74	31	63	39	77	27	23	30	79	
8	17	56	33	38	23	56	95	75	86	65	22	8	2	72	85	22	41	88	29	1	26	59	31	44	53	64	71	75	93	
51	83	65	9	71	59	31	83	55	61	70	75	38	33	77	66	19	54	8	62	82	62	87	96	92	32	51	57	58	27	
7	11	11	28	73	82	86	59	22	42	75	91	18	69	79	50	36	53	59	97	16	97	60	58	94	9	89	46	66	49	
73	28	15	39	55	43	76	96	3	97	93	33	45	13	3	25	18	38	77	77	36	48	31	51	7	26	60	52	72	81	
2	46	10	70	84	21	14	18	18	70	16	13	4	61	79	61	41	52	54	74	84	46	23	16	96	84	42	57	37	15	
39	92	16	5	63	55	79	32	72	52	3	44	20	60	60	98	22	2	8	32	75	47	77	54	63	74	93	60	87	31	
30	27	78	1	85	42	55	65	29	83	19	31	82	38	46	43	92	24	44	55	55	75	3	33	84	65	8	78	80	94	
64	11	77	43	11	19	40	22	40	68	60	58	54	43	51	1	85	98	24	84	54	78	16	57	12	55	77	74	88	59	
25	53	25	57	51	36	76	90	13	17	15	72	30	68	16	36	69	56	36	48	95	45	28	67	3	93	23	36	24	13	
94	5	21	74	61	28	65	92	19	77	64	88	50	49	57	21	85	81	32	76	31	29	22	14	95	79	62	73	16	86	
85	65	46	62	40	8	89	61	56	63	39	21	52	45	26	65	21	12	47	53	43	33	37	64	2	33	98	64	61	15	
7	48	35	52	65	31	15	55	91	70	19	31	47	27	31	72	91	52	39	93	6	81	82	42	2	39	30	2	4	90	
70	64	93	7	17	15	91	86	69	83	57	44	69	59	26	2	86	72	53	80	22	14	18	5	11	20	44	94	75	3	
41	46	67	90	8	39	6	98	26	31	38	39	74	9	53	55	64	41	28	72	76	49	41	94	10	51	69	53	2	45	
11	96	46	77	87	10	72	49	9	97	79	3	91	10	11	46	64	30	42	91	3	19	95	97	68	6	5	38	14	6	
38	25	57	40	57	46	49	30	50	13	83	30	15	75	93	79	22	14	10	19	60	66	38	56	64	7	62	68	1	75	
29	92	1	86	33	14	87	81	43	38	94	81	23	10	58	71	89	35	84	54	54	45	22	47	2	41	9	19	11	63	
94	93	57	50	80	89	63	68	28	62	61	77	44	83	86	57	55	32	92	94	42	3	40	63	5	96	5	13	16	69	
76	65	64	88	17	1	34	35	25	61	96	85	39	96	26	81	54	36	68	3	32	11	59	71	29	63	68	34	32	40	
58	63	6	77	52	76	78	85	13	4	48	64	44	42	61	69	78	71	7	48	29	92	58	88	20	87	8	44	76	39	
83	89	3	88	68	10	66	3	95	34	60	98	97	59	41	16	84	21	42	46	68	26	39	81	15	58	25	77	3	56	
71	41	47	30	85	70	39	52	28	35	41	43	34	39	3	31	10	86	51	7	33	74	33	27	12	3	85	37	79	43	
92	52	84	94	81	70	21	21	77	4	12	19	46	45	13	5	75	77	90	81	83	79	12	17	7	24	20	47	60	98	
90	9	7	31	59	43	56	35	20	34	39	31	8	40	31	20	44	62	96	90	44	81	70	56	53	32	79	72	35	94	
72	26	58	34	12	18	77	67	9	96	56	47	28	63	86	58	38	86	75	90	77	21	72	48	32	26	35	66	54	69	
