n 250
m 30
hl 143
o 5
peak_start 108
peak_end 125
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
122
156
160
90
90
163
146
106
95
64
63
75
195
177
161
118
152
127
49
80
92
152
43
44
101
49
139
160
89
73

processing
15	93	44	15	87	34	54	49	58	88	17	31	21	93	34	12	35	54	7	16	44	45	79	52	39	30	73	5	54	61	
86	24	11	31	39	97	20	48	4	78	91	74	64	67	24	98	34	58	9	40	30	53	41	10	6	35	93	34	39	49	
94	80	72	6	12	66	59	32	70	18	65	62	47	30	31	71	29	64	84	38	60	15	90	2	78	51	36	73	84	31	
77	36	12	50	95	78	72	11	65	43	82	31	6	31	60	36	3	45	56	86	38	17	57	83	72	36	35	63	10	20	
49	42	11	61	48	8	94	21	18	60	63	2	90	24	86	7	16	88	51	71	31	88	43	87	72	16	79	8	78	44	
82	83	86	92	45	35	55	40	55	29	55	73	84	46	52	71	52	67	16	59	93	46	4	91	35	76	8	69	39	42	
14	76	26	1	26	26	35	80	21	45	64	75	73	49	76	81	21	83	5	36	43	98	38	47	90	28	78	54	96	72	
51	11	50	76	12	31	57	2	12	33	3	76	9	31	80	40	13	57	24	18	48	67	71	85	69	18	14	4	27	11	
75	77	22	80	10	87	12	22	44	78	54	46	11	62	33	46	3	1	4	81	18	52	49	44	38	73	18	8	76	44	
18	8	77	93	88	86	81	55	10	27	88	63	28	98	81	60	46	39	61	5	21	34	56	25	34	50	53	51	57	30	
50	30	92	28	25	81	70	7	91	79	87	81	97	17	36	79	32	37	74	48	42	94	38	53	75	71	58	29	77	16	
15	82	46	8	12	70	44	81	32	36	17	21	72	15	91	64	50	24	2	79	28	97	30	65	8	6	91	65	89	69	
81	5	52	82	12	19	9	55	55	40	46	71	60	74	42	8	39	47	32	94	27	59	49	56	79	56	18	71	22	8	
95	58	12	4	41	77	23	49	87	33	89	34	6	6	63	3	14	3	49	1	53	31	15	3	86	93	58	59	21	35	
66	17	93	33	20	35	11	96	40	97	31	30	87	90	89	7	92	58	64	96	58	18	28	72	74	69	22	33	30	42	
67	95	58	61	30	34	52	94	85	91	49	17	76	37	62	66	43	11	26	8	8	39	79	35	67	54	6	88	42	35	
32	65	85	45	81	16	78	34	66	65	80	16	37	57	52	55	79	50	65	60	14	73	98	48	63	66	4	68	12	1	
58	43	65	45	87	48	16	23	37	81	43	19	96	35	75	5	89	11	11	12	70	78	84	26	27	48	47	84	72	58	
41	31	2	7	31	45	10	47	23	47	83	65	65	81	55	95	41	2	62	7	13	33	84	96	14	67	1	61	8	28	
20	48	59	76	11	89	22	20	91	98	66	76	20	86	14	74	39	54	75	2	61	87	88	2	40	4	24	95	64	32	
24	39	35	38	16	45	29	91	65	75	90	32	52	11	74	65	85	14	75	17	15	91	60	4	92	55	7	18	51	26	
5	31	65	39	68	80	84	52	73	50	29	64	37	36	31	12	3	17	79	77	87	93	69	48	97	18	5	59	89	11	
41	93	95	7	34	65	42	73	72	16	24	56	36	16	92	66	82	94	38	62	28	26	13	96	30	11	69	88	25	60	
98	65	54	51	27	43	17	69	17	44	40	94	2	75	66	93	96	49	88	35	66	71	17	78	24	46	44	92	35	69	
53	88	89	63	40	18	7	12	42	78	56	81	73	13	14	40	7	11	44	50	2	12	22	72	89	45	19	89	92	9	
15	47	52	5	65	92	76	71	59	19	50	70	56	79	82	69	74	44	35	20	93	90	85	70	63	75	70	81	65	64	
45	79	66	97	40	32	46	71	58	60	90	64	32	3	44	69	71	19	15	7	92	63	97	78	35	17	55	6	98	75	
25	98	12	90	96	7	77	97	77	37	59	24	2	90	26	1	60	52	19	30	59	67	93	13	46	29	29	56	88	82	
87	15	82	54	60	35	60	39	34	92	75	92	18	32	39	97	32	54	51	6	84	65	72	34	33	20	18	61	31	7	
1	19	75	38	72	37	28	33	75	61	81	51	10	98	38	4	96	69	58	4	30	97	68	4	32	2	77	49	19	9	
11	19	82	86	12	55	24	39	44	98	56	26	6	21	25	43	25	76	67	82	80	52	36	5	11	67	7	87	71	25	
52	37	97	35	24	10	45	3	4	88	56	59	15	17	80	93	15	6	27	81	43	62	35	34	66	45	56	28	88	28	
52	95	64	6	85	44	69	31	46	73	21	58	87	89	74	68	40	89	29	66	27	27	29	17	60	50	62	17	78	7	
98	85	57	20	91	43	63	61	73	64	89	49	23	78	94	53	3	35	43	86	2	69	14	84	86	30	35	5	2	14	
65	2	55	23	75	47	65	93	63	93	58	54	44	37	33	39	89	89	73	87	76	30	57	90	15	98	75	5	4	76	
73	68	33	29	90	9	31	12	3	93	7	17	4	50	9	36	44	53	81	72	41	58	3	53	5	71	53	79	75	12	
13	5	36	45	33	81	54	63	93	12	14	1	82	17	50	46	9	49	98	89	22	94	48	24	49	9	50	57	87	26	
24	1	85	59	2	73	42	11	38	36	22	7	36	60	23	41	7	85	89	7	75	12	2	79	89	6	87	40	18	31	
21	42	32	7	56	87	80	97	97	73	88	20	35	25	35	57	21	42	98	11	4	74	76	59	10	22	65	52	61	38	
83	38	79	70	98	37	58	35	89	56	9	79	31	97	59	66	12	36	63	11	2	66	40	78	26	50	1	46	3	18	
84	85	11	20	12	10	12	69	45	57	26	9	37	13	8	51	34	19	86	96	29	88	63	24	23	44	73	77	90	32	
94	31	72	60	6	84	70	72	54	70	30	36	78	22	4	41	28	37	15	16	34	97	59	52	23	81	95	95	59	42	
82	11	28	56	70	34	41	95	61	50	66	90	41	2	67	44	96	94	80	13	65	69	11	25	22	33	61	73	84	76	
16	67	42	98	24	67	33	20	64	49	70	85	94	12	42	62	12	40	13	47	52	78	18	62	58	93	51	21	67	36	
96	39	4	93	38	82	61	26	3	26	74	28	67	69	40	10	86	7	5	98	53	56	77	26	74	91	21	26	13	43	
61	64	37	20	58	74	57	20	55	60	2	30	87	24	54	82	87	41	88	92	41	43	49	73	24	78	65	44	5	33	
43	21	52	79	95	11	55	53	85	65	68	42	51	57	21	6	94	9	3	84	2	43	82	7	71	7	84	92	7	45	
26	49	65	78	29	17	44	39	70	84	6	93	81	56	51	3	17	47	12	19	86	67	17	25	73	44	85	15	37	91	
59	18	95	79	51	26	96	51	20	23	36	79	17	73	90	24	75	9	26	42	27	67	65	98	91	39	43	77	9	79	
26	67	52	22	4	5	3	55	55	23	33	46	57	5	20	49	28	51	57	9	48	39	75	14	92	23	9	36	56	17	
70	81	40	24	58	43	82	61	53	38	39	85	39	95	45	15	1	29	21	13	37	68	8	68	82	1	46	90	37	3	
62	62	39	3	85	97	1	68	59	9	61	53	49	56	5	94	70	6	24	90	72	16	15	79	39	96	80	85	43	72	
43	61	35	82	19	76	80	20	1	94	82	62	48	33	19	8	82	44	67	7	35	41	76	5	75	71	3	12	57	1	
83	1	17	74	82	36	7	19	55	7	14	92	24	17	26	42	25	9	41	47	69	31	87	3	36	20	73	92	31	85	
92	70	41	11	45	79	2	51	97	12	13	67	5	37	83	31	78	63	93	75	66	20	7	10	22	42	29	50	35	60	
90	83	31	32	49	31	66	50	37	65	61	49	87	65	85	71	51	21	90	2	95	13	21	3	22	96	45	51	3	35	
66	92	19	52	25	67	82	91	18	74	13	78	24	1	1	65	27	7	85	72	8	37	84	28	39	8	79	39	14	81	
74	79	74	92	32	55	61	69	3	34	44	15	68	67	69	68	33	51	74	73	25	82	11	64	65	6	71	2	44	40	
82	73	20	14	23	7	68	83	75	70	72	74	40	41	43	64	64	31	16	40	60	94	77	70	60	97	75	86	98	75	
28	38	5	3	51	27	10	20	65	40	45	39	16	40	35	14	5	1	44	20	40	5	16	72	31	31	70	61	18	26	
91	1	63	96	4	15	78	67	34	45	8	34	83	77	73	73	90	77	73	90	52	14	50	23	41	36	53	13	97	27	
92	45	27	56	42	84	70	22	52	59	22	16	48	60	48	22	34	40	54	9	85	61	76	36	84	19	72	92	85	26	
74	78	70	57	89	14	42	60	89	50	74	12	21	23	71	68	98	6	9	53	68	93	15	46	85	54	64	58	48	50	
83	77	83	54	35	73	23	77	88	67	82	63	34	4	41	6	27	40	66	90	48	35	40	18	80	26	72	1	39	75	
6	77	53	88	87	44	62	11	22	51	34	59	69	67	18	65	29	44	60	94	35	9	84	75	81	22	56	54	22	95	
84	82	73	92	71	61	37	89	28	14	95	61	72	66	83	89	86	13	89	48	8	25	56	48	55	92	69	13	47	46	
63	86	29	37	80	56	54	72	46	37	86	42	53	15	63	37	60	51	50	50	98	13	30	11	60	85	5	84	53	7	
32	17	49	16	9	84	71	18	57	72	54	98	16	62	15	34	1	74	84	50	79	39	62	10	6	78	50	10	63	58	
70	50	74	20	22	39	5	48	12	18	22	66	17	91	83	31	26	83	60	12	88	94	6	8	6	11	85	11	74	5	
69	46	11	98	21	32	38	26	79	6	97	2	27	15	48	11	2	74	94	17	41	83	13	46	90	72	57	32	82	32	
37	52	33	3	8	54	34	1	35	68	6	33	26	32	3	73	43	4	48	38	21	88	76	87	90	24	60	48	55	43	
