n 200
m 30
n_day 1
hl 1439
o 5
rate_in_peak 0.47753
rate_off_peak 0.32282
max_cost 936

peak_start
1080

peak_end
1259

v
1.2
1.1
1
0.9
0.8

lambda
1.5
1.25
1
0.8
0.6

pi
129
138
82
97
189
189
160
172
83
148
96
107
145
117
57
122
109
42
172
110
49
75
95
117
199
79
180
50
90
149

processing
15	58	12	33	21	72	94	90	26	83	8	71	28	23	58	18	21	7	80	23	34	30	28	59	93	78	28	95	90	43	
64	60	2	32	48	23	5	44	68	30	82	31	56	66	53	70	83	29	76	20	51	65	49	34	26	98	13	9	50	58	
51	16	19	9	47	23	31	51	66	54	36	49	84	48	70	92	19	54	22	50	30	28	17	34	61	96	33	30	6	83	
87	13	98	62	21	2	40	51	52	7	60	43	11	1	90	81	92	10	90	69	60	21	96	76	11	14	73	43	43	34	
81	86	46	36	5	66	37	44	72	88	6	33	87	70	33	78	8	80	88	98	50	5	74	3	36	84	71	64	83	15	
97	21	56	45	57	16	66	93	59	40	39	20	28	27	90	17	6	97	96	49	52	4	53	28	6	44	67	76	9	7	
47	8	28	58	8	84	74	73	34	88	68	72	10	96	98	55	14	60	9	65	10	61	68	19	44	30	62	66	61	71	
73	63	34	56	23	41	95	52	15	30	95	39	4	60	36	3	16	5	18	25	25	28	85	49	2	84	34	19	51	94	
89	79	15	24	36	91	20	86	44	89	18	40	29	21	2	20	77	71	78	51	95	4	78	37	52	35	22	85	53	73	
37	98	9	51	23	45	43	97	86	42	87	5	37	71	79	92	90	14	65	69	64	17	28	97	54	80	33	31	22	85	
59	14	84	68	20	63	68	62	17	55	59	5	60	52	31	94	45	22	9	65	46	28	82	73	26	91	10	58	23	32	
1	38	1	40	7	21	58	30	38	74	84	97	34	1	50	20	95	50	41	59	17	86	87	98	17	68	90	26	82	68	
57	82	7	14	77	67	34	91	96	71	66	82	25	56	38	30	75	88	80	72	5	96	15	47	51	31	16	96	57	97	
65	69	36	28	82	15	94	71	7	92	44	28	31	24	39	68	54	70	14	89	43	18	86	13	64	92	44	79	89	56	
34	55	26	69	82	64	39	78	36	1	27	35	83	57	59	23	80	68	48	93	58	90	66	1	5	85	92	4	22	82	
59	55	92	40	79	76	59	20	11	51	74	91	41	58	49	1	81	84	24	84	35	81	76	2	81	36	87	74	93	10	
13	9	20	7	4	98	38	19	73	48	69	49	40	11	8	44	66	44	29	89	30	19	72	61	75	10	52	63	40	46	
28	52	10	3	58	13	2	95	31	75	98	55	79	93	22	86	38	87	86	23	77	17	41	6	33	71	70	84	35	11	
85	18	18	94	20	76	62	76	28	49	8	82	59	86	76	80	73	70	68	16	48	3	32	44	62	20	17	33	59	7	
43	45	25	61	94	98	92	14	75	75	62	82	14	76	25	90	58	98	17	27	15	64	83	3	9	47	22	25	79	81	
32	78	81	12	94	33	65	87	46	96	19	63	35	33	40	60	78	97	15	94	80	29	59	64	85	23	12	63	4	91	
1	89	26	81	56	21	69	22	9	16	19	81	78	10	15	20	69	48	72	83	43	53	67	57	73	10	36	84	72	39	
32	72	29	57	10	84	77	79	61	41	50	36	78	30	45	48	5	69	96	32	53	40	85	75	53	59	84	88	98	13	
28	86	40	12	44	50	95	77	84	13	73	89	48	52	74	92	2	78	62	97	66	70	92	52	3	46	66	86	89	21	
1	18	8	40	29	8	45	79	40	84	92	14	75	95	22	6	45	23	40	62	75	7	34	24	14	36	70	35	77	16	
55	33	34	19	29	18	26	73	53	65	15	2	34	45	96	55	50	42	33	89	60	63	95	93	87	64	84	14	98	18	
29	55	51	18	73	79	90	54	9	44	74	77	1	9	77	52	20	83	50	52	73	11	17	26	59	5	89	44	72	45	
17	2	1	67	20	29	3	11	82	66	10	13	98	64	21	77	17	94	61	22	48	89	32	20	70	46	78	17	45	51	
61	62	8	61	84	81	45	87	47	82	10	56	94	9	75	70	41	48	66	3	69	69	48	57	44	19	4	23	35	49	
29	95	12	90	13	95	73	13	39	21	94	4	33	89	13	9	61	9	56	82	12	81	52	59	39	95	77	96	73	68	
46	3	20	13	48	87	64	22	1	4	97	51	62	31	41	30	93	57	38	51	40	49	87	91	63	81	43	96	78	17	
65	26	73	40	92	23	28	57	44	83	61	42	35	78	28	31	9	23	88	46	29	83	95	17	32	15	97	74	12	76	
